Equipo,GolesF,GolesC,DG,Puntos,W,D,L,GolesMT_F,GolesMT_C,TirosF,TirosC,TirosPF,TirosPC,Fouls_Prov,Fouls_Rec,Corners_Fav,Corners_Con,TA_Prov,TA_Rec,TR_Prov,TR_Rec
Bournemouth,45,61,-16,44,11,11,16,17,25,466,548,157,176,337,439,217,210,55,72,1,1
Crystal Palace,45,55,-10,44,11,11,16,18,29,475,462,151,176,425,414,209,209,71,70,0,3
Newcastle,39,47,-8,44,12,8,18,16,19,449,479,150,157,409,389,167,223,52,62,2,0
West Ham,48,68,-20,42,10,12,16,20,26,373,561,133,190,379,463,161,208,72,54,2,1
Watford,44,64,-20,41,11,8,19,17,29,440,413,132,160,441,393,184,198,63,63,4,3
Brighton,34,54,-20,40,9,13,16,16,24,383,555,118,181,413,293,163,228,54,29,2,2
Huddersfield,28,58,-30,37,9,10,19,15,19,360,441,111,165,396,377,165,209,61,55,3,4
Southampton,37,56,-19,36,7,15,16,16,28,451,493,145,170,416,397,227,201,63,50,2,2
Stoke,35,68,-33,33,7,12,19,17,25,382,578,131,220,436,392,136,281,62,49,1,0
Swansea,28,56,-28,33,8,9,21,10,26,336,538,104,191,377,414,150,195,51,68,1,0
West Brom,31,56,-25,31,6,13,19,12,20,375,515,114,157,440,365,176,176,72,55,1,1
Juventus,86,24,62,95,30,5,3,35,9,554,309,205,95,425,518,186,129,66,92,1,7
Napoli,77,29,48,91,28,7,3,35,15,652,326,256,98,349,390,241,129,58,84,3,0
Roma,61,28,33,77,23,8,7,28,12,644,418,213,141,396,460,263,158,48,73,4,5
Inter,66,30,36,72,20,12,6,26,13,570,438,206,118,453,422,290,184,69,81,1,9
Lazio,89,49,40,72,21,9,8,42,20,554,435,216,162,435,378,217,156,77,70,6,3
Milan,56,42,14,64,18,10,10,28,16,609,412,224,135,498,513,244,150,75,83,7,6
Atalanta,57,39,18,60,16,12,10,23,17,573,400,197,117,491,499,229,189,67,87,4,5
Fiorentina,54,46,8,57,16,9,13,26,22,616,400,193,154,547,457,210,198,88,100,6,8
Sampdoria,56,60,-4,54,16,6,16,26,26,476,548,172,201,424,508,224,214,69,96,2,4
Torino,54,46,8,54,13,15,10,25,19,443,501,156,163,565,539,173,229,78,73,4,5
Sassuolo,29,59,-30,43,11,10,17,14,29,495,466,143,180,483,586,196,223,89,78,7,4
Genoa,33,43,-10,41,11,8,19,12,14,411,504,126,175,560,498,183,157,76,73,5,5
Chievo,36,59,-23,40,10,10,18,13,25,386,578,135,189,479,467,147,242,75,62,4,6
Udinese,48,63,-15,40,12,4,22,24,33,444,521,139,176,529,415,177,226,72,63,4,5
Bologna,40,52,-12,39,11,6,21,21,24,353,526,123,165,480,484,151,240,102,70,6,3
Cagliari,33,61,-28,39,11,6,21,14,27,371,536,120,172,607,487,179,193,96,73,6,3
Spal,39,59,-20,38,8,14,16,16,25,368,577,115,200,476,663,175,209,102,77,4,3
Crotone,40,66,-26,35,9,8,21,18,35,379,558,135,204,504,488,135,257,66,76,2,2
Verona,30,78,-48,25,7,4,27,12,34,357,707,101,263,519,439,143,242,96,66,6,4
Benevento,33,84,-51,21,6,3,29,11,34,466,561,146,213,490,499,165,203,78,70,7,2
Bayern Munich,89,22,67,82,25,7,2,40,15,621,303,229,98,360,424,243,98,47,48,0,4
RB Leipzig,66,39,27,67,20,7,7,28,18,442,342,173,99,523,484,181,140,66,93,2,6
Dortmund,72,40,32,64,18,10,6,30,16,534,346,204,126,413,556,208,99,55,86,2,4
Hoffenheim,64,37,27,62,16,14,4,27,17,498,413,181,151,514,549,144,197,63,67,1,5
FC Koln,51,42,9,49,12,13,9,27,22,360,475,119,161,476,494,124,185,72,62,1,3
Hertha,43,47,-4,49,15,4,15,17,25,345,436,126,152,473,495,117,154,63,68,3,5
Freiburg,42,60,-18,48,14,6,14,17,26,403,497,145,161,445,470,140,193,56,59,1,0
M'gladbach,45,49,-4,45,12,9,13,20,17,410,421,146,155,419,457,142,170,46,64,2,3
Werder Bremen,61,64,-3,45,13,6,15,28,34,377,523,154,192,476,520,128,185,67,63,2,1
Schalke 04,45,40,5,43,11,10,13,22,17,442,397,137,121,508,455,160,143,69,57,3,1
Ein Frankfurt,36,43,-7,42,11,9,14,13,19,380,343,124,123,538,480,150,123,82,58,6,4
Leverkusen,53,55,-2,41,11,8,15,21,21,445,397,177,161,478,422,149,152,50,49,4,2
Augsburg,35,51,-16,38,9,11,14,13,24,370,464,127,174,494,458,106,143,66,55,3,4
Hamburg,33,61,-28,38,10,8,16,14,24,359,439,113,152,564,474,156,153,73,70,5,1
Mainz,44,55,-11,37,10,7,17,21,25,414,424,152,162,493,489,190,157,67,65,7,3
Wolfsburg,34,52,-18,37,10,7,17,14,21,426,445,143,164,513,503,168,143,65,61,3,2
Ingolstadt,36,57,-21,32,8,8,18,18,22,457,411,162,159,554,565,158,135,69,59,6,4
Darmstadt,28,63,-35,25,7,4,23,11,18,335,542,94,195,516,462,128,222,67,59,5,4
Real Madrid,106,41,65,93,29,6,3,54,16,661,399,265,146,425,541,223,151,72,113,2,4
Barcelona,116,37,79,90,28,6,4,44,16,648,351,268,159,421,599,241,125,73,99,1,10
Ath Madrid,70,27,43,78,23,9,6,24,9,502,427,198,118,498,491,203,165,80,95,3,4
Sevilla,69,49,20,72,21,9,8,29,24,486,439,198,169,581,545,194,127,105,111,4,6
Villarreal,56,33,23,67,19,10,9,27,14,425,489,169,155,507,514,169,213,89,94,4,2
Sociedad,59,53,6,64,19,7,12,24,25,487,388,167,162,528,611,216,161,79,110,6,4
Ath Bilbao,53,43,10,63,19,6,13,23,22,478,380,186,127,499,542,220,149,87,116,2,5
Espanol,49,50,-1,56,15,11,12,20,22,343,451,129,174,567,499,138,214,80,87,2,4
Alaves,41,43,-2,55,14,13,11,16,12,389,503,132,164,540,508,138,239,113,99,5,5
Eibar,56,51,5,54,15,9,14,27,19,449,403,177,159,515,406,195,175,91,91,7,10
Malaga,49,55,-6,46,12,10,16,20,30,491,415,168,152,547,546,205,175,108,101,7,8
Valencia,56,65,-9,46,13,7,18,30,31,447,497,169,172,550,584,179,176,108,95,6,1
Celta,53,69,-16,45,13,6,19,21,21,405,498,148,190,513,525,128,193,98,90,8,4
Betis,41,64,-23,39,10,9,19,17,25,440,465,152,193,574,590,169,183,102,101,5,4
Las Palmas,53,74,-21,39,10,9,19,20,40,437,472,182,179,466,649,179,178,98,100,6,6
La Coruna,43,61,-18,36,8,12,18,24,25,461,477,145,169,536,533,192,213,92,90,4,2
Leganes,36,55,-19,35,8,11,19,13,25,413,400,132,147,644,501,153,171,105,78,3,2
Sp Gijon,42,72,-30,31,7,10,21,15,29,375,564,135,202,567,526,177,188,112,81,4,0
Osasuna,40,94,-54,22,4,10,24,17,42,389,505,143,201,567,425,143,186,98,81,3,2
Granada,30,82,-52,20,4,8,26,16,34,380,583,124,249,553,463,148,228,109,67,6,5
Monaco,107,31,76,95,30,5,3,45,10,553,367,243,118,467,468,231,191,51,64,3,3
Paris SG,83,27,56,87,27,6,5,36,8,583,343,222,90,403,414,266,136,50,56,3,0
Nice,63,36,27,78,22,12,4,31,17,433,502,170,152,426,576,114,196,57,78,4,6
Marseille,57,41,16,62,17,11,10,22,20,464,449,162,160,499,403,193,165,68,44,1,2
Bordeaux,53,43,10,59,15,14,9,22,19,451,456,155,161,442,517,161,197,64,68,5,12
Nantes,40,54,-14,51,14,9,15,18,21,456,420,139,148,530,410,189,170,76,60,3,5
Guingamp,46,53,-7,50,14,8,16,13,19,443,482,165,155,495,520,198,196,57,57,4,5
Rennes,36,42,-6,50,12,14,12,13,18,436,403,147,138,462,468,158,167,56,56,4,6
St Etienne,41,42,-1,50,12,14,12,11,20,401,490,127,172,483,471,182,167,52,69,7,8
Angers,40,49,-9,46,13,7,18,16,23,527,409,178,129,435,396,195,184,58,53,5,8
Lille,40,47,-7,46,13,7,18,15,20,483,435,152,152,537,527,165,170,59,64,6,1
Toulouse,37,41,-4,44,10,14,14,14,14,380,477,131,155,564,484,153,194,87,80,4,6
Metz,39,72,-33,43,11,10,17,16,25,357,590,117,209,514,453,135,215,71,56,7,2
Montpellier,48,66,-18,39,10,9,19,23,33,503,432,158,163,400,474,192,158,45,58,5,4
Caen,36,65,-29,37,10,7,21,17,30,459,469,138,161,438,483,169,161,59,69,2,7
Dijon,46,58,-12,37,8,13,17,26,19,426,552,156,197,494,481,172,226,68,56,6,2
Lorient,44,70,-26,36,10,6,22,12,37,428,452,146,194,445,402,189,178,67,60,5,4
Nancy,29,52,-23,35,9,8,21,13,17,373,482,107,172,497,486,165,213,76,55,5,4
Chelsea,85,33,52,93,30,3,5,37,19,580,322,204,105,394,491,218,160,72,82,0,4
Tottenham,86,26,60,86,26,8,4,36,11,669,348,257,111,432,471,273,136,62,88,0,3
Man City,80,39,41,78,23,9,6,36,17,633,299,217,106,395,435,280,130,71,90,4,1
Liverpool,78,42,36,76,22,10,6,39,20,638,307,236,114,397,401,249,133,54,71,0,1
Arsenal,77,44,33,75,23,6,9,27,17,565,431,200,167,397,400,227,191,67,76,3,4
Man United,54,29,25,69,18,15,5,28,11,589,358,210,114,497,457,217,148,76,68,2,4
Everton,62,44,18,61,17,10,11,23,22,498,445,192,148,459,432,196,215,71,58,2,2
Bournemouth,55,67,-12,46,12,10,16,27,29,446,551,160,189,366,495,191,205,51,81,3,3
Southampton,41,48,-7,46,12,10,16,19,18,548,436,179,128,424,427,200,190,58,67,2,2
West Brom,43,51,-8,45,12,9,17,21,21,400,517,123,162,449,358,158,211,80,52,0,3
West Ham,47,64,-17,45,12,9,17,19,27,496,502,138,181,408,477,172,184,77,82,5,1
Leicester,48,63,-15,44,12,8,18,23,33,432,554,145,191,451,341,197,219,71,56,1,0
Stoke,41,56,-15,44,11,11,16,23,23,426,538,137,181,434,453,188,253,70,78,2,2
Crystal Palace,50,63,-13,41,12,5,21,17,30,438,517,138,177,469,476,202,223,77,69,0,1
Swansea,45,70,-25,41,12,5,21,17,26,390,518,146,185,401,438,196,186,56,64,0,1
Burnley,39,55,-16,40,11,7,20,16,21,390,667,120,211,426,422,149,263,65,63,2,3
Watford,40,68,-28,40,11,7,20,17,35,419,538,144,189,517,438,164,202,83,61,5,3
Hull,37,80,-43,34,9,7,22,11,28,396,618,127,215,403,403,179,243,67,53,5,2
Middlesbrough,27,53,-26,28,5,13,20,15,27,349,548,100,172,478,413,141,217,76,63,1,0
Sunderland,29,69,-40,24,6,6,26,11,27,387,675,121,248,437,406,160,248,76,58,4,1
Juventus,77,27,50,91,29,4,5,37,11,583,349,221,108,473,588,222,130,70,89,0,5
Roma,90,38,52,87,28,3,7,35,15,676,468,234,154,462,514,259,207,64,83,1,3
Napoli,94,39,55,86,26,8,4,37,10,670,383,262,126,376,460,266,145,58,90,2,7
Atalanta,62,41,21,72,21,9,8,32,20,534,400,201,150,603,568,229,178,85,99,3,1
Lazio,74,51,23,70,21,7,10,34,17,584,416,211,163,543,447,237,146,90,78,4,4
Milan,57,45,12,63,18,9,11,20,24,555,523,191,188,521,540,242,228,81,117,12,2
Inter,72,49,23,62,19,5,14,30,21,630,407,208,161,540,541,306,161,74,91,5,4
Fiorentina,63,57,6,60,16,12,10,22,25,609,458,226,170,535,555,234,171,92,90,6,1
Torino,71,66,5,53,13,14,11,28,23,573,544,184,176,587,497,220,215,80,74,4,5
Sampdoria,49,55,-6,48,12,12,14,18,29,501,501,167,179,511,526,195,217,73,92,4,8
Cagliari,55,76,-21,47,14,5,19,23,36,421,648,174,212,557,521,144,249,97,89,7,5
Udinese,47,56,-9,45,12,9,17,19,20,434,472,155,157,484,526,179,222,84,71,2,7
Chievo,43,61,-18,43,12,7,19,15,26,407,577,129,191,555,556,147,252,82,68,4,1
Bologna,40,58,-18,41,11,8,19,17,23,422,528,145,188,486,532,156,235,84,77,11,7
Genoa,38,64,-26,36,9,9,20,14,27,443,478,147,172,623,461,192,177,89,78,8,8
Crotone,34,58,-24,34,9,7,22,17,21,399,572,130,216,585,493,156,253,87,55,4,6
Empoli,29,61,-32,32,8,8,22,14,27,362,604,127,213,538,631,171,196,107,95,2,4
Palermo,33,77,-44,26,6,8,24,15,30,381,547,118,206,564,551,162,230,93,73,9,5
Bayern Munich,80,17,63,88,28,4,2,30,8,607,251,257,83,380,420,228,86,44,48,1,0
Dortmund,82,34,48,78,24,6,4,32,16,529,269,212,110,391,471,191,110,39,62,0,3
Leverkusen,56,40,16,60,18,6,10,21,21,485,362,185,143,525,520,217,140,65,70,4,3
M'gladbach,67,50,17,55,17,4,13,27,22,454,455,191,158,461,481,146,137,45,72,3,1
Schalke 04,51,49,2,52,15,7,12,21,19,487,491,163,166,506,462,170,179,64,61,1,2
Hertha,42,42,0,50,14,8,12,20,16,331,421,128,145,481,536,143,153,66,67,3,3
Mainz,46,42,4,50,14,8,12,26,17,383,467,150,165,528,509,145,175,53,64,1,4
Wolfsburg,47,49,-2,45,12,9,13,20,18,489,386,194,152,457,464,168,144,55,57,3,1
FC Koln,38,42,-4,43,10,13,11,14,25,416,487,164,167,436,474,162,190,55,69,2,3
Hamburg,40,46,-6,41,11,8,15,18,16,373,466,136,175,576,483,130,182,73,66,3,3
Ingolstadt,33,42,-9,40,10,10,14,14,16,422,366,128,125,526,599,143,138,79,81,2,3
Augsburg,42,52,-10,38,9,11,14,22,23,444,540,150,186,532,458,128,190,81,60,2,3
Darmstadt,38,53,-15,38,9,11,14,23,18,346,509,116,159,557,549,117,204,86,59,1,3
Werder Bremen,50,65,-15,38,10,8,16,22,30,453,439,151,173,520,531,148,183,77,70,2,2
Hoffenheim,39,54,-15,37,9,10,15,21,25,379,533,134,202,469,498,137,207,56,65,3,0
Ein Frankfurt,34,52,-18,36,9,9,16,16,22,368,430,136,181,517,527,161,142,93,76,3,3
Stuttgart,50,75,-25,33,9,6,19,22,36,498,465,188,208,506,447,224,142,64,65,5,1
Hannover,31,62,-31,25,7,4,23,12,33,380,507,126,211,520,459,151,207,66,49,0,1
Barcelona,112,29,83,91,29,4,5,42,13,604,365,267,130,382,582,222,133,66,118,1,9
Real Madrid,110,34,76,90,28,6,4,60,13,710,428,290,144,422,508,257,164,68,115,5,5
Ath Madrid,63,18,45,88,28,4,6,24,8,480,369,166,101,505,456,207,143,88,89,3,4
Villarreal,44,35,9,64,18,10,10,19,16,342,452,132,133,519,471,174,217,96,94,4,5
Ath Bilbao,58,45,13,62,18,8,12,28,17,454,376,163,138,501,504,207,175,83,111,6,6
Celta,51,59,-8,60,17,9,12,28,22,444,461,155,162,529,534,196,178,109,102,7,6
Sevilla,51,50,1,52,14,10,14,21,22,460,537,182,173,557,518,253,206,95,106,8,10
Malaga,38,35,3,48,12,12,14,17,19,448,405,166,144,552,502,193,197,103,115,5,5
Sociedad,45,48,-3,48,13,9,16,25,23,457,413,157,155,464,597,199,199,104,119,5,3
Betis,34,52,-18,45,11,12,15,13,21,392,518,125,194,491,589,164,218,104,119,5,7
Las Palmas,45,53,-8,44,12,8,18,18,27,419,480,164,182,466,592,150,188,95,98,4,5
Valencia,46,48,-2,44,11,11,16,20,18,396,516,138,183,566,622,185,243,101,94,7,3
Eibar,49,61,-12,43,11,10,17,25,31,419,386,153,154,593,435,173,186,103,91,4,5
Espanol,40,74,-34,43,12,7,19,19,36,388,491,144,175,653,521,179,188,120,106,5,6
La Coruna,45,61,-16,42,8,18,12,22,29,451,411,156,153,401,449,191,210,80,78,4,4
Granada,46,69,-23,39,10,9,19,19,31,429,436,130,177,585,523,148,218,133,103,7,8
Sp Gijon,40,62,-22,39,10,9,19,20,30,371,538,122,211,524,469,167,172,98,95,6,5
Vallecano,52,73,-21,38,9,11,18,29,31,501,471,179,192,546,497,227,192,108,77,10,7
Getafe,37,67,-30,36,9,9,20,12,39,432,474,144,191,531,457,183,205,122,83,6,4
Levante,37,70,-33,32,8,8,22,13,28,433,503,143,184,548,509,165,208,126,89,7,2
Paris SG,102,19,83,96,30,6,2,38,10,564,363,250,117,395,445,204,134,45,53,1,3
Lyon,67,43,24,65,19,8,11,31,19,554,358,202,142,511,574,181,124,65,98,3,8
Monaco,57,50,7,65,17,14,7,24,22,427,473,169,168,545,536,205,181,84,69,4,5
Nice,58,41,17,63,18,9,11,30,22,387,424,161,152,451,517,169,183,66,82,6,8
Lille,39,27,12,60,15,15,8,16,8,475,386,154,133,575,621,198,186,83,86,6,9
St Etienne,42,37,5,58,17,7,14,11,14,440,434,134,146,588,467,209,204,71,64,5,8
Caen,39,52,-13,54,16,6,16,14,22,469,469,175,172,463,468,197,210,52,68,6,3
Rennes,52,54,-2,52,13,13,12,22,20,418,466,154,174,463,446,177,184,67,65,3,9
Angers,40,38,2,50,13,11,14,22,15,397,418,131,128,521,482,134,223,70,81,6,2
Bastia,36,42,-6,50,14,8,16,16,14,332,428,110,145,530,512,131,191,82,75,10,7
Bordeaux,50,57,-7,50,12,14,12,23,19,440,406,144,166,491,526,190,183,80,68,7,5
Montpellier,49,47,2,49,14,7,17,24,18,393,421,144,146,476,537,186,179,64,82,2,5
Marseille,48,42,6,48,10,18,10,14,19,475,414,181,143,511,559,224,149,71,69,9,2
Nantes,33,44,-11,48,12,12,14,14,20,432,399,134,140,598,436,178,167,79,68,5,6
Lorient,47,58,-11,46,11,13,14,20,29,418,510,153,183,463,502,170,196,63,62,7,4
Guingamp,47,56,-9,44,11,11,16,20,21,399,483,135,165,508,580,176,177,75,76,6,13
Toulouse,45,55,-10,40,9,13,16,15,20,424,412,158,139,533,579,171,166,71,75,10,8
Reims,44,57,-13,39,10,9,19,17,24,426,449,159,171,518,522,176,173,80,81,6,4
Ajaccio GFCO,37,58,-21,37,8,13,17,22,32,434,406,124,162,577,413,153,167,89,56,6,2
Troyes,28,83,-55,18,3,9,26,11,36,448,633,154,234,434,429,206,258,71,50,9,6
Leicester,68,36,32,81,23,12,3,28,13,523,516,181,143,405,373,197,239,48,66,3,2
Arsenal,65,36,29,71,20,11,7,35,20,572,452,210,152,350,448,227,181,39,65,4,3
Tottenham,69,35,34,70,19,13,6,31,16,661,421,250,121,452,403,254,181,72,63,0,3
Man City,71,41,30,66,19,9,10,32,23,612,336,210,125,409,402,257,165,61,58,0,2
Man United,49,35,14,66,19,9,10,21,14,430,411,143,123,472,374,228,144,65,55,1,2
Southampton,59,41,18,63,18,9,11,26,19,519,460,169,140,416,375,224,205,57,39,6,1
West Ham,65,51,14,62,16,14,8,28,27,556,513,184,168,381,467,224,196,56,64,5,9
Liverpool,63,50,13,60,16,12,10,28,19,629,397,203,133,422,394,265,175,61,47,3,3
Stoke,41,55,-14,51,14,9,15,17,23,418,533,130,177,419,402,153,240,51,56,4,2
Chelsea,59,53,6,50,12,14,12,29,20,526,482,173,179,408,497,240,206,58,108,6,4
Everton,59,55,4,47,11,14,13,30,27,492,551,175,185,315,425,218,227,44,61,5,1
Swansea,42,52,-10,47,12,11,15,23,19,442,523,136,169,392,468,163,197,62,75,1,5
Watford,40,50,-10,45,12,9,17,18,20,445,499,136,174,460,397,166,244,74,46,3,2
West Brom,34,48,-14,43,10,13,15,18,24,384,547,106,160,392,412,188,222,63,41,3,5
Bournemouth,45,67,-22,42,11,9,18,21,38,463,436,144,154,362,402,221,169,52,52,1,5
Crystal Palace,39,51,-12,42,11,9,18,13,21,466,569,152,172,465,450,219,222,60,65,1,3
Sunderland,48,62,-14,39,9,12,17,18,30,439,569,143,218,396,403,160,227,62,69,2,5
Newcastle,44,65,-21,37,9,10,19,17,29,398,554,152,178,414,383,158,242,58,55,5,1
Norwich,39,67,-28,34,9,7,22,16,24,416,490,126,172,417,327,188,202,61,43,3,1
Aston Villa,27,76,-49,17,3,8,27,8,31,368,500,111,191,431,376,167,233,75,51,3,0
Juventus,75,20,55,91,29,4,5,34,9,599,340,215,95,571,609,212,107,90,104,6,6
Napoli,80,32,48,82,25,7,6,36,17,656,341,243,88,441,506,224,133,68,91,2,7
Roma,83,41,42,80,23,11,4,35,15,585,428,216,148,532,496,236,184,79,106,5,6
Inter,50,38,12,67,20,7,11,22,16,516,466,167,153,504,527,245,200,90,105,12,6
Fiorentina,60,42,18,64,18,10,10,32,18,573,342,180,114,536,632,208,137,93,107,3,8
Sassuolo,49,40,9,61,16,13,9,30,25,486,473,153,142,571,655,202,216,90,78,7,11
Milan,49,43,6,57,15,12,11,23,17,550,454,173,143,585,619,230,172,92,99,3,5
Lazio,52,52,0,54,15,9,14,18,28,511,418,147,153,594,504,243,168,94,73,10,7
Chievo,43,45,-2,50,13,11,14,19,22,423,591,129,177,632,557,156,232,104,84,4,9
Empoli,40,49,-9,46,12,10,16,18,24,477,531,148,164,507,719,169,195,92,105,6,4
Genoa,45,48,-3,46,13,7,18,17,21,468,514,149,171,632,583,197,195,82,95,9,8
Atalanta,41,47,-6,45,11,12,15,20,19,454,471,137,157,636,618,190,197,95,98,14,7
Torino,52,55,-3,45,12,9,17,21,24,471,446,176,146,656,516,181,166,95,91,3,5
Bologna,33,45,-12,42,11,9,18,17,13,387,469,114,156,535,531,184,232,88,77,7,5
Sampdoria,48,61,-13,40,10,10,18,20,31,430,598,152,207,551,586,172,271,102,102,7,3
Palermo,38,65,-27,39,10,9,19,17,29,412,603,122,201,621,579,164,227,96,85,6,5
Udinese,35,60,-25,39,10,9,19,17,28,444,524,145,169,575,571,192,189,98,91,7,5
Carpi,37,57,-20,38,9,11,18,14,29,426,507,132,170,634,578,178,232,105,84,6,9
Frosinone,35,76,-41,31,8,7,23,17,24,486,770,124,228,625,594,170,285,108,94,5,7
Verona,34,63,-29,28,5,13,20,10,28,451,519,142,182,612,570,209,224,88,80,7,6
