Equipo,GolesF,GolesC,DG,Puntos,W,D,L,GolesMT_F,GolesMT_C,TirosF,TirosC,TirosPF,TirosPC,Fouls_Prov,Fouls_Rec,Corners_Fav,Corners_Con,TA_Prov,TA_Rec,TR_Prov,TR_Rec
Liverpool,52,48,4,62,18,8,12,21,24,590,415,194,143,385,488,198,199,66,80,3,4
Southampton,54,33,21,60,18,6,14,24,17,506,384,170,114,468,417,209,162,57,52,3,3
Swansea,46,49,-3,56,16,8,14,19,22,422,552,147,192,398,492,151,210,48,79,5,3
Stoke,48,45,3,54,15,9,14,30,24,501,454,136,143,486,428,192,233,82,62,1,5
Crystal Palace,47,51,-4,48,13,9,16,17,23,438,525,139,151,527,451,209,226,63,67,4,1
Everton,48,50,-2,47,12,11,15,24,19,484,501,166,128,388,470,194,202,66,82,2,3
West Ham,44,47,-3,47,12,11,15,19,21,485,589,152,179,420,440,241,211,64,58,2,7
West Brom,38,51,-13,44,11,11,16,16,33,411,544,130,186,423,419,171,188,64,49,3,2
Leicester,46,55,-9,41,11,8,19,21,27,457,552,137,173,457,381,211,234,49,55,4,6
Newcastle,40,63,-23,39,10,9,19,13,28,467,443,143,163,433,462,222,183,66,92,7,0
Aston Villa,31,57,-26,38,10,8,20,22,24,414,478,127,170,400,442,171,216,70,66,7,3
Sunderland,31,53,-22,38,7,17,14,17,25,404,624,129,197,435,465,185,220,94,68,2,4
Hull,33,51,-18,35,8,11,19,16,22,429,499,131,157,451,422,169,222,71,73,6,4
Burnley,28,53,-25,33,7,12,19,16,31,429,589,125,187,406,420,170,240,64,65,2,2
QPR,42,73,-31,30,8,6,24,17,34,533,618,151,216,447,416,179,244,75,50,3,3
Lazio,71,38,33,69,21,6,11,35,12,543,365,216,128,678,479,208,125,104,87,9,7
Fiorentina,61,46,15,64,18,10,10,23,17,617,462,201,154,537,579,247,176,81,99,3,4
Napoli,70,54,16,63,18,9,11,26,26,622,382,233,128,524,508,251,146,77,101,6,5
Genoa,62,47,15,59,16,11,11,29,24,488,497,177,186,634,649,232,217,102,102,6,5
Sampdoria,48,42,6,56,13,17,8,16,19,499,519,156,160,614,627,212,215,96,93,3,7
Inter,59,48,11,55,14,13,11,24,23,618,456,184,146,560,496,234,191,93,88,5,10
Torino,48,45,3,54,14,12,12,21,21,542,522,170,148,543,549,180,194,96,89,3,7
Milan,56,50,6,52,13,13,12,28,19,449,554,148,161,541,637,196,217,82,106,13,5
Palermo,53,55,-2,49,12,13,13,35,27,479,492,152,174,582,572,196,189,83,100,4,8
Sassuolo,49,57,-8,49,12,13,13,23,30,447,506,152,177,587,692,164,226,101,88,9,12
Verona,49,65,-16,46,11,13,14,21,30,458,614,156,203,523,535,175,253,96,77,7,5
Chievo,28,41,-13,43,10,13,15,12,15,458,579,138,161,626,598,165,243,82,93,3,6
Empoli,46,52,-6,42,8,18,12,20,22,512,515,167,162,489,627,225,187,58,92,4,6
Udinese,43,56,-13,41,10,11,17,20,26,423,580,121,191,532,532,180,218,91,88,6,5
Atalanta,38,57,-19,37,7,16,15,18,26,463,567,132,207,629,638,193,228,103,95,9,3
Cagliari,48,68,-20,34,8,10,20,26,36,496,498,179,186,594,647,201,206,108,85,6,5
Parma,33,75,-42,26,6,8,24,16,39,414,528,111,198,659,511,152,196,98,62,8,5
Cesena,36,73,-37,24,4,12,22,15,33,357,584,115,197,631,572,132,235,102,78,4,1
Bayern Munich,94,23,71,90,29,3,2,39,13,630,302,258,108,407,475,242,114,45,58,2,1
Dortmund,80,38,42,71,22,5,7,32,18,614,331,242,115,464,506,199,121,43,56,2,7
Schalke 04,63,43,20,64,19,7,8,30,21,474,450,182,155,556,513,152,182,53,64,5,3
Leverkusen,60,41,19,61,19,4,11,33,21,494,452,185,147,510,468,201,171,69,54,2,2
Wolfsburg,63,50,13,60,18,6,10,28,21,523,385,200,154,550,541,167,134,54,68,8,0
M'gladbach,59,43,16,55,16,7,11,27,16,430,532,169,182,361,412,153,184,50,57,3,3
Mainz,52,54,-2,53,16,5,13,20,19,441,505,163,185,494,528,135,210,53,58,4,2
Augsburg,47,47,0,52,15,7,12,26,25,512,417,159,143,518,552,197,156,61,74,1,6
Hoffenheim,72,70,2,44,11,11,12,35,36,496,435,196,189,658,582,144,165,63,68,2,9
Hannover,46,59,-13,42,12,6,16,23,28,469,466,164,184,591,502,171,159,71,55,6,5
Hertha,40,48,-8,41,11,8,15,19,27,383,371,150,137,552,574,167,145,56,59,1,2
Werder Bremen,42,66,-24,39,10,9,15,21,32,367,565,132,196,551,533,164,237,73,59,3,0
Ein Frankfurt,40,57,-17,36,9,9,16,19,25,431,476,154,187,556,565,203,145,75,64,2,4
Freiburg,43,61,-18,36,9,9,16,12,26,370,539,130,208,513,470,135,190,62,56,5,5
Stuttgart,49,62,-13,32,8,8,18,27,26,401,460,139,172,507,503,152,181,60,56,5,2
Hamburg,51,75,-24,27,7,6,21,20,33,500,510,205,206,537,554,180,166,54,55,2,4
Nurnberg,37,70,-33,26,5,11,18,17,23,389,596,142,223,524,513,155,204,71,54,4,2
Braunschweig,29,60,-31,25,6,7,21,9,27,412,544,119,198,553,611,145,198,62,60,3,3
Ath Madrid,77,26,51,90,28,6,4,32,12,503,344,202,93,526,568,260,140,97,101,3,9
Barcelona,100,33,67,87,27,6,5,49,16,643,335,266,131,426,590,269,152,72,105,1,3
Real Madrid,104,38,66,87,27,6,5,41,18,743,412,301,127,450,516,256,172,74,89,3,5
Ath Bilbao,66,39,27,70,20,10,8,25,19,510,423,189,135,486,592,222,196,76,93,4,10
Sevilla,69,52,17,63,18,9,11,30,17,499,503,163,165,572,498,219,190,111,97,8,9
Sociedad,62,55,7,59,16,11,11,24,27,503,531,191,177,456,546,209,227,75,106,1,6
Villarreal,60,44,16,59,17,8,13,25,20,436,421,160,131,528,555,218,213,71,105,4,4
Celta,49,54,-5,49,14,7,17,22,21,494,504,171,187,516,489,199,228,78,92,4,4
Valencia,51,53,-2,49,13,10,15,27,22,524,489,176,172,492,572,235,209,92,97,4,5
Levante,35,43,-8,48,12,12,14,15,19,364,649,125,213,649,568,144,246,109,110,9,8
Malaga,39,46,-7,45,12,9,17,16,20,473,419,156,176,567,496,198,237,112,91,9,5
Vallecano,46,80,-34,43,13,4,21,15,38,537,481,176,184,543,558,211,212,98,84,9,5
Espanol,41,51,-10,42,11,9,18,17,20,415,456,136,159,611,499,196,219,92,93,7,5
Getafe,35,54,-19,42,11,9,18,20,28,429,555,133,194,580,563,210,265,118,95,8,5
Granada,32,56,-24,41,12,5,21,14,20,432,532,129,201,543,517,200,199,97,97,9,7
Almeria,43,71,-28,40,11,7,20,19,27,397,614,146,217,562,480,185,251,95,88,5,7
Elche,30,50,-20,40,9,13,16,12,20,403,430,125,151,534,539,195,200,110,90,8,4
Osasuna,32,62,-30,39,10,9,19,22,28,433,530,134,178,493,487,187,260,85,81,8,5
Valladolid,38,60,-22,36,7,15,16,15,30,373,541,126,189,525,462,199,212,101,66,2,3
Betis,36,78,-42,25,6,7,25,15,33,501,443,162,187,543,507,224,208,103,86,9,6
Paris SG,84,23,61,89,27,8,3,35,11,593,368,234,108,450,510,218,171,61,64,1,4
Monaco,63,31,32,80,23,11,4,31,13,530,371,188,134,538,566,223,174,61,72,0,7
Lille,46,26,20,71,20,11,7,25,14,497,340,180,123,531,590,207,158,55,63,6,5
St Etienne,56,34,22,69,20,9,9,23,11,490,384,177,122,546,489,171,181,67,71,2,7
Lyon,56,44,12,61,17,10,11,24,20,490,385,178,142,555,480,207,154,52,71,7,6
Marseille,53,40,13,60,16,12,10,27,17,524,390,192,129,530,547,207,204,59,54,0,1
Bordeaux,49,43,6,53,13,14,11,22,14,452,397,169,154,502,531,190,169,50,59,6,4
Lorient,48,53,-5,49,13,10,15,26,24,439,445,155,158,448,476,191,168,48,52,6,8
Nantes,40,43,-3,49,13,10,15,19,17,407,421,132,151,536,420,180,208,55,44,4,3
Toulouse,46,53,-7,49,12,13,13,15,29,438,461,167,151,518,595,171,160,76,55,5,10
Reims,44,52,-8,48,12,12,14,16,16,435,562,141,196,532,427,154,217,56,40,3,2
Bastia,42,58,-16,46,12,10,16,17,32,398,452,138,166,514,503,165,153,61,59,6,5
Rennes,47,45,2,46,11,13,14,23,21,393,567,147,176,442,498,154,233,47,45,4,1
Evian Thonon Gaillard,39,51,-12,44,11,11,16,16,23,406,460,138,159,530,441,148,196,64,53,5,3
Guingamp,34,42,-8,42,11,9,18,10,20,439,482,139,160,554,582,192,225,61,79,5,3
Montpellier,45,53,-8,42,8,18,12,18,22,439,452,144,162,481,589,175,181,59,78,14,5
Nice,30,44,-14,42,12,6,20,13,20,364,480,118,172,505,573,170,160,58,69,5,5
Sochaux,37,61,-24,40,10,10,18,16,29,429,504,145,193,567,536,182,168,70,52,5,2
Valenciennes,37,65,-28,29,7,8,23,9,24,417,438,141,160,543,508,232,163,61,60,2,5
Ajaccio,37,72,-35,23,4,11,23,21,29,352,573,116,223,620,581,121,215,70,51,4,4
Man City,102,37,65,86,27,5,6,46,14,673,357,238,122,394,351,283,157,72,60,1,4
Liverpool,101,50,51,84,26,6,6,59,21,650,475,259,150,410,432,224,190,54,86,1,6
Chelsea,71,27,44,82,25,7,6,30,11,693,395,228,124,420,462,249,177,56,84,3,4
Arsenal,68,41,27,79,24,7,7,25,20,524,449,210,155,348,409,211,161,53,63,4,0
Everton,61,39,22,72,21,9,8,20,17,560,491,195,153,365,456,251,189,54,62,1,1
Tottenham,55,51,4,69,21,6,11,20,25,584,423,189,157,403,408,230,188,66,67,4,2
Man United,64,43,21,64,19,7,12,27,22,525,451,181,146,399,460,216,170,66,77,3,1
Southampton,54,46,8,56,15,11,12,28,19,531,365,177,130,443,401,211,177,60,56,0,1
Stoke,45,52,-7,50,13,11,14,23,20,425,546,139,179,485,382,164,226,72,54,5,1
Newcastle,43,59,-16,49,15,4,19,21,24,579,483,184,169,412,366,190,202,52,46,6,3
Crystal Palace,33,48,-15,45,13,6,19,13,19,414,526,143,168,404,386,172,250,57,56,2,5
Swansea,54,54,0,42,11,9,18,20,24,494,482,163,153,373,393,223,192,55,71,3,1
West Ham,40,51,-11,40,11,7,20,18,21,418,676,119,206,402,387,184,260,61,41,5,2
Aston Villa,39,61,-22,38,10,8,20,22,31,430,491,134,169,484,364,163,210,78,63,0,3
Sunderland,41,60,-19,38,10,8,20,20,27,490,635,137,213,444,467,188,216,68,65,7,3
Hull,38,53,-15,37,10,7,21,19,25,425,531,129,161,421,415,160,211,53,49,4,6
West Brom,43,59,-16,36,7,15,16,19,34,485,495,145,170,426,454,187,187,67,58,0,1
Norwich,28,62,-34,33,8,9,21,10,31,464,582,146,192,424,406,197,221,62,47,2,6
Fulham,40,85,-45,32,9,5,24,13,25,431,669,149,242,383,402,194,250,57,49,1,1
